,date,open,high,low,close,volume
80,2020-04-24,710.81,730.73,698.18,725.0,25102459
81,2020-04-27,737.61,799.49,735.0,798.92,58450139
82,2020-04-28,795.64,805.0,756.69,769.11,14526538
83,2020-04-29,790.17,803.1999,783.16,799.84,12096180
84,2020-04-30,855.19,869.82,763.5,781.06,53718332
85,2020-05-01,755.0,772.77,683.04,701.31,31742479
86,2020-05-04,701.0,762.0,698.0,761.21,36511504
87,2020-05-05,789.79,798.92,762.18,768.06,16328797
88,2020-05-06,776.5,789.8,761.11,782.45,21416699
89,2020-05-07,777.21,796.4,772.35,780.215,11124597
90,2020-05-08,793.77,824.0,787.01,819.25,31166079
91,2020-05-11,790.51,824.0,785.0,810.48,31241342
92,2020-05-12,827.0,843.29,808.0,809.21,15080918
93,2020-05-13,820.83,826.0,763.3,790.62,18430885
94,2020-05-14,780.0,803.36,764.0,803.04,13077331
95,2020-05-15,790.35,805.0486,786.552,799.034,20204818
96,2020-05-18,827.78,834.7201,803.88,813.51,10969747
97,2020-05-19,815.17,822.07,806.08,808.0,9331427
98,2020-05-20,820.5,826.0,811.8,815.46,13799592
99,2020-05-21,816.0,832.5,796.0,827.75,23543511
100,2020-05-22,822.1735,831.78,812.0,816.4,19439642
101,2020-05-26,834.5,834.6,815.705,818.74,7532731
102,2020-05-27,820.86,827.71,785.0,819.955,11092116
103,2020-05-28,813.51,824.75,801.69,805.975,7013890
104,2020-05-29,808.75,835.0,804.21,834.1905,10523947
105,2020-06-01,858.0,899.0,854.1,897.875,13962296
106,2020-06-02,894.7,908.66,871.0,881.4,13049927
107,2020-06-03,888.12,897.94,880.1,882.51,15342518
108,2020-06-04,889.88,895.75,858.44,864.27,8667226
109,2020-06-05,877.84,886.52,866.2,885.335,7366347
110,2020-06-08,919.0,950.0,909.16,948.45,26318875
111,2020-06-09,940.01,954.4399,923.931,941.5524,21496458
112,2020-06-10,991.88,1027.48,982.5,1024.974,17023324
113,2020-06-11,990.2,1018.9599,972.11,972.41,29440376
114,2020-06-12,980.0,987.98,936.25,936.25,5885153
115,2020-06-15,917.79,998.84,908.5,990.75,14933856
116,2020-06-16,1011.85,1012.88,962.39,981.51,26814330
117,2020-06-17,987.71,1005.0,982.571,990.56,9026154
